row_type,user_id,age,gender,location,nationality,created_at,session_id,initial_offer,final_offer,final_price,outcome,session_status,dropoff_stage,started_at,ended_at,session_duration_seconds,turn_count,turn_number,speaker,message,offer_amount,concession_amount,offer_made,is_counter_offer,response_time_seconds,message_length,sentiment,strategy_tag,timestamp
turns,c3b73e52-51ad-4c74-a85b-3cfa43351b86,,,,,,052a932b-98bd-4822-ae77-9ee5924dc57a,,,,,,,,,,,3,Human,turn 3,,,False,False,,0,neutral,neutral,2026-04-06T10:25:11.529111+00:00
turns,c3b73e52-51ad-4c74-a85b-3cfa43351b86,,,,,,052a932b-98bd-4822-ae77-9ee5924dc57a,,,,,,,,,,,3,AI,"I can move to $1,060,000 this round.",,,False,False,,0,neutral,neutral,2026-04-06T10:25:11.529111+00:00
turns,c3b73e52-51ad-4c74-a85b-3cfa43351b86,,,,,,052a932b-98bd-4822-ae77-9ee5924dc57a,,,,,,,,,,,4,Human,turn 4,,,False,False,,0,neutral,neutral,2026-04-06T10:25:11.529111+00:00
turns,c3b73e52-51ad-4c74-a85b-3cfa43351b86,,,,,,052a932b-98bd-4822-ae77-9ee5924dc57a,,,,,,,,,,,4,AI,"I can move to $1,030,000 this round.",,,False,False,,0,neutral,neutral,2026-04-06T10:25:11.529111+00:00
turns,c3b73e52-51ad-4c74-a85b-3cfa43351b86,,,,,,052a932b-98bd-4822-ae77-9ee5924dc57a,,,,,,,,,,,5,Human,turn 5,,,False,False,,0,neutral,neutral,2026-04-06T10:25:11.529111+00:00
turns,c3b73e52-51ad-4c74-a85b-3cfa43351b86,,,,,,052a932b-98bd-4822-ae77-9ee5924dc57a,,,,,,,,,,,5,AI,"I can move to $1,000,000 this round.",,,False,False,,0,neutral,neutral,2026-04-06T10:25:11.529111+00:00
turns,8e68850d-2a0d-4708-be39-10e159cc9f47,,,,,,fce92a97-d454-4b22-8278-e8ddce2c7c77,,,,,,,,,,,1,Human,how,,,False,False,,0,neutral,neutral,2026-04-06T10:25:11.529111+00:00
turns,8e68850d-2a0d-4708-be39-10e159cc9f47,,,,,,fce92a97-d454-4b22-8278-e8ddce2c7c77,,,,,,,,,,,1,AI,"I can move to $1,120,000 this round.",,,False,False,,0,neutral,neutral,2026-04-06T10:25:11.529111+00:00
turns,23f99806-66cf-46af-9ee6-cebdf261837c,,,,,,47e1af81-d37a-4be7-b771-37458ab25443,,,,,,,,,,,1,Human,i want it,,,False,False,,0,neutral,neutral,2026-04-06T10:25:11.529111+00:00
turns,23f99806-66cf-46af-9ee6-cebdf261837c,,,,,,47e1af81-d37a-4be7-b771-37458ab25443,,,,,,,,,,,1,AI,"I can move to $1,120,000 this round.",,,False,False,,0,neutral,neutral,2026-04-06T10:25:11.529111+00:00
turns,23f99806-66cf-46af-9ee6-cebdf261837c,,,,,,47e1af81-d37a-4be7-b771-37458ab25443,,,,,,,,,,,2,Human,why,,,False,False,,0,neutral,neutral,2026-04-06T10:25:11.529111+00:00
turns,23f99806-66cf-46af-9ee6-cebdf261837c,,,,,,47e1af81-d37a-4be7-b771-37458ab25443,,,,,,,,,,,2,AI,"I can move to $1,090,000 this round.",,,False,False,,0,neutral,neutral,2026-04-06T10:25:11.529111+00:00
turns,23f99806-66cf-46af-9ee6-cebdf261837c,,,,,,47e1af81-d37a-4be7-b771-37458ab25443,,,,,,,,,,,3,Human,ok,,,False,False,,0,neutral,neutral,2026-04-06T10:25:11.529111+00:00
turns,23f99806-66cf-46af-9ee6-cebdf261837c,,,,,,47e1af81-d37a-4be7-b771-37458ab25443,,,,,,,,,,,3,AI,"I can move to $1,060,000 this round.",,,False,False,,0,neutral,neutral,2026-04-06T10:25:11.529111+00:00
turns,23f99806-66cf-46af-9ee6-cebdf261837c,,,,,,47e1af81-d37a-4be7-b771-37458ab25443,,,,,,,,,,,4,Human,ttt,,,False,False,,0,neutral,neutral,2026-04-06T10:25:11.529111+00:00
turns,23f99806-66cf-46af-9ee6-cebdf261837c,,,,,,47e1af81-d37a-4be7-b771-37458ab25443,,,,,,,,,,,4,AI,"I can move to $1,030,000 this round.",,,False,False,,0,neutral,neutral,2026-04-06T10:25:11.529111+00:00
turns,23f99806-66cf-46af-9ee6-cebdf261837c,,,,,,47e1af81-d37a-4be7-b771-37458ab25443,,,,,,,,,,,5,Human,hh,,,False,False,,0,neutral,neutral,2026-04-06T10:25:11.529111+00:00
turns,23f99806-66cf-46af-9ee6-cebdf261837c,,,,,,47e1af81-d37a-4be7-b771-37458ab25443,,,,,,,,,,,5,AI,"I can move to $1,000,000 this round.",,,False,False,,0,neutral,neutral,2026-04-06T10:25:11.529111+00:00
turns,58f7b9ba-8846-4a36-8447-b8897419045a,,,,,,af5abfef-f076-4a90-9d89-9e21068bb212,,,,,,,,,,,1,Human,merge check turn 1,,,False,False,,0,neutral,neutral,2026-04-06T10:25:11.529111+00:00
turns,58f7b9ba-8846-4a36-8447-b8897419045a,,,,,,af5abfef-f076-4a90-9d89-9e21068bb212,,,,,,,,,,,1,AI,"I can move to $1,120,000 this round.",,,False,False,,0,neutral,neutral,2026-04-06T10:25:11.529111+00:00
turns,58f7b9ba-8846-4a36-8447-b8897419045a,,,,,,af5abfef-f076-4a90-9d89-9e21068bb212,,,,,,,,,,,2,Human,merge check turn 2,,,False,False,,0,neutral,neutral,2026-04-06T10:25:11.529111+00:00
turns,58f7b9ba-8846-4a36-8447-b8897419045a,,,,,,af5abfef-f076-4a90-9d89-9e21068bb212,,,,,,,,,,,2,AI,"I can move to $1,090,000 this round.",,,False,False,,0,neutral,neutral,2026-04-06T10:25:11.529111+00:00
turns,58f7b9ba-8846-4a36-8447-b8897419045a,,,,,,af5abfef-f076-4a90-9d89-9e21068bb212,,,,,,,,,,,3,Human,merge check turn 3,,,False,False,,0,neutral,neutral,2026-04-06T10:25:11.529111+00:00
turns,58f7b9ba-8846-4a36-8447-b8897419045a,,,,,,af5abfef-f076-4a90-9d89-9e21068bb212,,,,,,,,,,,3,AI,"I can move to $1,060,000 this round.",,,False,False,,0,neutral,neutral,2026-04-06T10:25:11.529111+00:00
turns,58f7b9ba-8846-4a36-8447-b8897419045a,,,,,,af5abfef-f076-4a90-9d89-9e21068bb212,,,,,,,,,,,4,Human,merge check turn 4,,,False,False,,0,neutral,neutral,2026-04-06T10:25:11.529111+00:00
turns,58f7b9ba-8846-4a36-8447-b8897419045a,,,,,,af5abfef-f076-4a90-9d89-9e21068bb212,,,,,,,,,,,4,AI,"I can move to $1,030,000 this round.",,,False,False,,0,neutral,neutral,2026-04-06T10:25:11.529111+00:00
turns,58f7b9ba-8846-4a36-8447-b8897419045a,,,,,,af5abfef-f076-4a90-9d89-9e21068bb212,,,,,,,,,,,5,Human,merge check turn 5,,,False,False,,0,neutral,neutral,2026-04-06T10:25:11.529111+00:00
turns,58f7b9ba-8846-4a36-8447-b8897419045a,,,,,,af5abfef-f076-4a90-9d89-9e21068bb212,,,,,,,,,,,5,AI,"I can move to $1,000,000 this round.",,,False,False,,0,neutral,neutral,2026-04-06T10:25:11.529111+00:00
turns,41f474e2-a0d9-43ef-b937-0145edbc4bc0,,,,,,619e7101-e92e-4f7a-af06-403f159f1121,,,,,,,,,,,1,Human,i like it,,,False,False,,0,neutral,neutral,2026-04-06T10:25:11.529111+00:00
